operator_id,date,tasks_completed,avg_idle_pct,avg_seatbelt_compliance_pct,total_unsafe_events,total_proximity_alerts,avg_overrun_min,total_engine_hours
OP-001,2026-08-24,3,3.1333333333333333,100.0,0,1,-13.0,3.47
OP-001,2026-08-25,1,2.5,100.0,1,3,12.0,1.98
OP-001,2026-08-26,1,6.6,100.0,0,0,-32.0,1.0
OP-001,2026-08-27,3,3.8333333333333335,100.0,0,0,-8.666666666666666,3.72
OP-001,2026-08-28,1,2.6,100.0,0,0,-12.0,1.27
OP-001,2026-08-29,2,7.0,100.0,0,1,-9.5,2.93
OP-001,2026-08-30,1,7.4,100.0,0,0,-11.0,1.12
OP-001,2026-08-31,3,2.8666666666666667,100.0,1,6,22.0,5.98
OP-001,2026-09-01,1,4.1,100.0,0,0,3.0,1.22
OP-001,2026-09-02,2,3.5,100.0,0,2,-20.5,2.15
OP-001,2026-09-03,1,7.7,100.0,0,0,6.0,2.37
OP-001,2026-09-04,1,5.4,100.0,0,1,3.0,1.53
OP-001,2026-09-05,1,5.9,100.0,0,1,-6.0,0.55
OP-001,2026-09-06,1,5.4,100.0,1,2,-6.0,1.22
OP-001,2026-09-07,3,2.9,100.0,0,3,-2.0,5.2
OP-001,2026-09-08,1,4.9,100.0,0,1,24.0,2.37
OP-001,2026-09-09,1,5.9,100.0,0,0,-13.0,1.67
OP-001,2026-09-10,1,4.5,100.0,0,0,7.0,1.1
OP-001,2026-09-11,1,4.2,100.0,1,2,11.0,1.98
OP-001,2026-09-12,1,5.2,100.0,0,2,-7.0,1.27
OP-001,2026-09-13,2,5.35,100.0,0,4,-13.0,2.78
OP-001,2026-09-14,1,8.2,100.0,0,0,2.0,0.8
OP-001,2026-09-15,1,7.1,100.0,0,1,-16.0,1.4
OP-001,2026-09-16,2,7.550000000000001,100.0,0,2,0.0,2.15
OP-001,2026-09-17,2,7.949999999999999,100.0,0,0,4.0,3.62
OP-001,2026-09-18,1,6.6,100.0,0,0,5.0,1.75
OP-001,2026-09-19,1,5.2,100.0,0,0,6.0,2.53
OP-001,2026-09-20,3,7.033333333333332,100.0,0,0,2.3333333333333335,5.17
OP-001,2026-09-21,1,7.3,100.0,0,0,11.0,1.8
OP-001,2026-09-22,2,5.55,100.0,1,3,-16.5,2.9
OP-002,2026-08-24,2,21.299999999999997,100.0,0,0,25.0,4.28
OP-002,2026-08-25,1,22.1,100.0,1,1,18.0,1.72
OP-002,2026-08-26,2,25.5,100.0,0,0,30.5,4.22
OP-002,2026-08-27,1,28.6,100.0,0,0,16.0,1.03
OP-002,2026-08-28,1,31.2,100.0,3,3,22.0,2.55
OP-002,2026-08-29,2,33.6,100.0,0,0,33.5,4.2
OP-002,2026-08-30,1,20.9,100.0,0,1,3.0,1.42
OP-002,2026-08-31,2,25.35,100.0,0,0,31.5,4.93
OP-002,2026-09-01,2,22.950000000000003,100.0,1,1,5.0,1.68
OP-002,2026-09-02,3,25.7,100.0,1,1,18.666666666666668,5.22
OP-002,2026-09-03,2,22.75,100.0,0,0,33.0,4.92
OP-002,2026-09-04,3,23.633333333333336,100.0,1,1,16.333333333333332,5.37
