operator_id,date,tasks_completed,avg_idle_pct,avg_seatbelt_compliance_pct,total_unsafe_events,total_proximity_alerts,avg_overrun_min,total_engine_hours
OP-001,2026-08-24,1,1.1,100.0,0,0,7.0,1.57
OP-001,2026-08-25,3,4.533333333333333,100.0,0,1,-3.6666666666666665,3.72
OP-001,2026-08-26,3,2.3333333333333335,100.0,0,3,2.3333333333333335,5.38
OP-001,2026-08-27,3,7.6000000000000005,100.0,2,5,4.333333333333333,7.22
OP-001,2026-08-28,2,6.550000000000001,100.0,0,2,7.0,4.82
OP-001,2026-08-29,3,5.8,100.0,0,2,-0.6666666666666666,5.95
OP-001,2026-08-30,1,3.8,100.0,0,0,1.0,2.15
OP-001,2026-08-31,2,4.6,100.0,1,5,24.0,4.98
OP-001,2026-09-01,3,5.066666666666666,100.0,1,2,-3.3333333333333335,4.15
OP-001,2026-09-02,1,11.2,100.0,0,0,4.0,1.32
OP-001,2026-09-03,1,3.8,100.0,0,3,9.0,1.3
OP-001,2026-09-04,3,4.366666666666666,100.0,0,1,4.666666666666667,4.62
OP-001,2026-09-05,1,1.7,100.0,0,3,8.0,0.95
OP-001,2026-09-06,2,5.0,100.0,0,2,0.5,2.95
OP-001,2026-09-07,3,3.733333333333333,100.0,0,4,8.333333333333334,4.62
OP-001,2026-09-08,1,4.2,100.0,0,0,-1.0,2.37
OP-001,2026-09-09,1,6.6,100.0,0,1,7.0,1.25
OP-001,2026-09-10,1,7.1,100.0,0,0,-12.0,1.15
OP-001,2026-09-11,3,4.333333333333333,100.0,2,7,15.666666666666666,7.58
OP-001,2026-09-12,3,5.866666666666667,100.0,0,1,-4.0,5.48
OP-001,2026-09-13,1,6.4,100.0,0,0,20.0,2.85
OP-001,2026-09-14,3,5.633333333333333,100.0,0,2,2.6666666666666665,3.87
OP-001,2026-09-15,3,5.233333333333333,100.0,0,2,5.333333333333333,6.02
OP-001,2026-09-16,2,2.85,100.0,0,1,6.5,2.53
OP-001,2026-09-17,2,3.2,100.0,0,3,-1.5,3.25
OP-001,2026-09-18,1,3.7,100.0,0,0,3.0,2.22
