task_id,date,operator_id,machine_id,site_id,task_type,environmental_condition,terrain_type,priority,status,scheduled_duration_min,actual_duration_min,overrun_min,idle_pct,seatbelt_compliance_pct,proximity_alert_count,unsafe_event_count,avg_speed_kmph,max_speed_kmph,avg_engine_temp_c,avg_vibration
TSK-00001,2026-08-24,OP-001,MC-002,SITE-C,Demolition,Dust Storm,Rocky,High,Scheduled,73.0,58.0,-15.0,6.8,100.0,0,0,7.0644067796610175,13.5,85.21525423728814,3.0013559322033903
TSK-00002,2026-08-24,OP-001,MC-009,SITE-A,Excavation,Rain,Rocky,Low,Scheduled,85.0,80.0,-5.0,1.2,100.0,1,0,7.837037037037036,15.0,84.27654320987654,2.9895061728395063
TSK-00003,2026-08-24,OP-001,MC-010,SITE-A,Trenching,Clear,Rocky,Low,Scheduled,89.0,70.0,-19.0,1.4,100.0,0,0,7.922535211267606,12.6,85.0887323943662,2.900985915492958
TSK-00004,2026-08-24,OP-002,MC-003,SITE-B,Material Loading,Rain,Soft Soil,High,Scheduled,112.0,133.0,21.0,19.4,100.0,0,0,6.199253731343284,16.4,84.35746268656716,2.9617910447761195
TSK-00005,2026-08-24,OP-002,MC-003,SITE-B,Grading,Clear,Rocky,High,Scheduled,95.0,124.0,29.0,23.2,100.0,0,0,6.1376,15.7,83.7328,2.92216
TSK-00006,2026-08-24,OP-003,MC-009,SITE-A,Grading,Dust Storm,Rocky,Medium,Scheduled,64.0,61.0,-3.0,3.2,100.0,3,0,8.596774193548388,17.8,83.63225806451612,2.92758064516129
TSK-00007,2026-08-24,OP-004,MC-006,SITE-B,Demolition,Dust Storm,Rocky,Low,Scheduled,74.0,67.0,-7.0,5.9,100.0,0,0,7.541176470588234,15.8,84.30882352941177,3.2155882352941174
TSK-00008,2026-08-24,OP-004,MC-004,SITE-D,Trenching,Clear,Hard Soil,Low,Scheduled,63.0,56.0,-7.0,3.5,100.0,1,1,8.068421052631578,16.0,83.50526315789475,3.2907017543859647
TSK-00009,2026-08-24,OP-005,MC-008,SITE-D,Material Loading,Clear,Hard Soil,High,Scheduled,86.0,50.0,-36.0,2.0,100.0,0,0,8.468627450980392,14.6,83.62941176470589,3.0294117647058822
TSK-00010,2026-08-24,OP-005,MC-007,SITE-A,Excavation,Dust Storm,Hard Soil,High,Scheduled,66.0,75.0,9.0,5.3,100.0,1,0,8.257894736842106,17.4,84.52894736842104,3.062763157894737
TSK-00011,2026-08-24,OP-006,MC-010,SITE-A,Trenching,Clear,Muddy,High,Scheduled,64.0,67.0,3.0,8.8,100.0,1,0,7.276470588235294,14.0,83.88088235294117,2.926764705882353
TSK-00012,2026-08-24,OP-007,MC-006,SITE-A,Demolition,Rain,Rocky,Low,Scheduled,138.0,163.0,25.0,22.6,100.0,0,0,6.460975609756097,14.8,84.29268292682927,2.9546951219512194
TSK-00013,2026-08-24,OP-007,MC-001,SITE-D,Grading,Clear,Rocky,High,Scheduled,114.0,169.0,55.0,22.9,100.0,0,0,6.141176470588236,14.5,85.0264705882353,2.951294117647059
TSK-00014,2026-08-24,OP-008,MC-002,SITE-C,Demolition,Rain,Hard Soil,Medium,Scheduled,128.0,95.0,-33.0,5.2,100.0,2,0,7.510416666666667,17.3,85.93958333333335,3.035833333333333
TSK-00015,2026-08-24,OP-009,MC-004,SITE-C,Trenching,Clear,Rocky,Medium,Scheduled,81.0,85.0,4.0,8.1,0.0,0,1,7.02906976744186,15.3,84.80116279069767,3.0645348837209303
TSK-00016,2026-08-24,OP-010,MC-009,SITE-B,Demolition,High Wind,Soft Soil,High,Scheduled,89.0,100.0,11.0,4.0,100.0,0,0,7.752475247524752,16.8,84.76336633663367,3.170990099009901
TSK-00017,2026-08-24,OP-011,MC-009,SITE-B,Grading,Rain,Hard Soil,Medium,Scheduled,39.0,50.0,11.0,31.4,100.0,1,0,5.3999999999999995,12.8,85.31568627450982,3.0258823529411765
TSK-00018,2026-08-24,OP-011,MC-008,SITE-B,Demolition,Rain,Hard Soil,High,Scheduled,100.0,117.0,17.0,18.6,100.0,0,0,6.470338983050848,14.7,84.51525423728813,2.941186440677966
TSK-00019,2026-08-24,OP-011,MC-005,SITE-D,Material Loading,Clear,Muddy,Low,Scheduled,89.0,101.0,12.0,28.4,100.0,0,0,5.902941176470589,16.9,86.92941176470588,2.8937254901960787
TSK-00020,2026-08-24,OP-012,MC-008,SITE-A,Material Loading,Clear,Hard Soil,High,Scheduled,60.0,61.0,1.0,3.2,100.0,1,0,7.188709677419355,12.4,84.90322580645162,3.2979032258064516
TSK-00021,2026-08-24,OP-013,MC-006,SITE-A,Excavation,Clear,Soft Soil,Medium,Scheduled,73.0,77.0,4.0,1.3,100.0,1,1,7.671794871794871,12.9,85.03589743589744,2.978076923076923
TSK-00022,2026-08-24,OP-014,MC-006,SITE-C,Trenching,Clear,Hard Soil,High,Scheduled,104.0,72.0,-32.0,4.1,100.0,0,0,7.561643835616438,13.5,83.96438356164383,2.8073972602739725
TSK-00023,2026-08-24,OP-015,MC-001,SITE-D,Trenching,Clear,Soft Soil,High,Scheduled,117.0,115.0,-2.0,3.4,100.0,0,0,7.789655172413793,14.3,84.67672413793103,2.8738793103448277
TSK-00024,2026-08-24,OP-015,MC-007,SITE-C,Trenching,Clear,Soft Soil,High,Scheduled,120.0,108.0,-12.0,8.3,100.0,1,1,7.521100917431192,15.8,83.77247706422018,2.9292660550458716
TSK-00025,2026-08-24,OP-015,MC-008,SITE-A,Trenching,Rain,Soft Soil,Low,Scheduled,94.0,93.0,-1.0,5.3,100.0,0,0,8.296808510638298,18.7,85.35957446808511,3.023191489361702
TSK-00026,2026-08-25,OP-001,MC-007,SITE-D,Grading,Clear,Rocky,Medium,Scheduled,107.0,119.0,12.0,2.5,100.0,3,1,7.802499999999999,14.2,85.625,3.0930000000000004
TSK-00027,2026-08-25,OP-002,MC-001,SITE-D,Demolition,Clear,Soft Soil,Low,Scheduled,85.0,103.0,18.0,22.1,100.0,1,1,6.250961538461539,14.9,85.71634615384616,3.033173076923077
TSK-00028,2026-08-25,OP-003,MC-002,SITE-D,Trenching,Clear,Muddy,Low,Scheduled,114.0,121.0,7.0,4.9,100.0,0,0,7.987704918032787,15.2,84.65819672131147,3.1861475409836064
TSK-00029,2026-08-25,OP-004,MC-001,SITE-A,Trenching,Clear,Muddy,Medium,Scheduled,146.0,176.0,30.0,5.1,100.0,2,0,7.8423728813559315,18.8,85.1135593220339,2.9568926553672314
