task_id,date,operator_id,machine_id,site_id,task_type,environmental_condition,terrain_type,ambient_temp_c,visibility_pct,site_traffic_density,scheduled_start,scheduled_end,priority,status
TSK-00001,2026-08-24,OP-001,MC-008,SITE-C,Grading,Dust Storm,Soft Soil,26.2,23.5,Medium,2026-08-24T19:00:00,2026-08-24T20:27:00,High,Scheduled
TSK-00002,2026-08-24,OP-002,MC-010,SITE-B,Trenching,Rain,Muddy,23.6,49.8,Low,2026-08-24T07:00:00,2026-08-24T09:24:00,Low,Scheduled
TSK-00003,2026-08-24,OP-002,MC-001,SITE-C,Demolition,Rain,Muddy,13.3,52.5,Low,2026-08-24T09:39:00,2026-08-24T12:51:00,Low,Scheduled
TSK-00004,2026-08-24,OP-003,MC-003,SITE-A,Grading,Rain,Soft Soil,21.6,54.8,High,2026-08-24T19:00:00,2026-08-24T20:22:00,High,Scheduled
TSK-00005,2026-08-24,OP-003,MC-002,SITE-D,Excavation,Clear,Soft Soil,23.3,71.5,Medium,2026-08-24T20:52:00,2026-08-24T22:22:00,Medium,Scheduled
TSK-00006,2026-08-24,OP-003,MC-007,SITE-D,Material Loading,Clear,Soft Soil,27.0,79.3,High,2026-08-24T22:42:00,2026-08-24T23:24:00,High,Scheduled
TSK-00007,2026-08-24,OP-004,MC-002,SITE-B,Demolition,Clear,Hard Soil,29.8,88.1,High,2026-08-24T07:00:00,2026-08-24T09:09:00,High,Scheduled
TSK-00008,2026-08-24,OP-004,MC-008,SITE-C,Material Loading,Clear,Soft Soil,23.2,92.9,Medium,2026-08-24T09:19:00,2026-08-24T10:07:00,Low,Scheduled
TSK-00009,2026-08-24,OP-005,MC-002,SITE-B,Excavation,Dust Storm,Soft Soil,15.6,19.9,Medium,2026-08-24T19:00:00,2026-08-24T20:46:00,Low,Scheduled
TSK-00010,2026-08-24,OP-006,MC-009,SITE-D,Material Loading,High Wind,Hard Soil,20.2,70.9,Medium,2026-08-24T07:00:00,2026-08-24T07:58:00,Low,Scheduled
TSK-00011,2026-08-24,OP-007,MC-002,SITE-C,Trenching,Clear,Rocky,29.8,76.9,Medium,2026-08-24T19:00:00,2026-08-24T21:03:00,Medium,Scheduled
TSK-00012,2026-08-24,OP-008,MC-004,SITE-B,Excavation,Clear,Soft Soil,24.0,91.0,Medium,2026-08-24T07:00:00,2026-08-24T08:26:00,Low,Scheduled
TSK-00013,2026-08-24,OP-009,MC-003,SITE-A,Demolition,Dust Storm,Soft Soil,16.4,22.6,Medium,2026-08-24T19:00:00,2026-08-24T21:31:00,High,Scheduled
TSK-00014,2026-08-24,OP-010,MC-007,SITE-B,Grading,Rain,Muddy,21.0,58.1,Low,2026-08-24T07:00:00,2026-08-24T08:47:00,Medium,Scheduled
TSK-00015,2026-08-24,OP-010,MC-002,SITE-D,Excavation,Clear,Soft Soil,24.0,100.0,Low,2026-08-24T09:17:00,2026-08-24T10:43:00,Low,Scheduled
TSK-00016,2026-08-24,OP-010,MC-010,SITE-B,Grading,Clear,Muddy,30.2,85.4,Medium,2026-08-24T11:03:00,2026-08-24T12:42:00,Medium,Scheduled
TSK-00017,2026-08-24,OP-011,MC-008,SITE-A,Excavation,Clear,Soft Soil,22.3,67.1,High,2026-08-24T19:00:00,2026-08-24T20:23:00,Low,Scheduled
TSK-00018,2026-08-24,OP-012,MC-008,SITE-D,Trenching,Clear,Hard Soil,28.6,98.0,High,2026-08-24T07:00:00,2026-08-24T08:35:00,Medium,Scheduled
